Heat: 750.0000 | Time: 2.8330 | MPISize: 1
         3002677 function calls (2769372 primitive calls) in 7.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 __init__.py:2(<module>)
        1    0.000    0.000    0.019    0.019 numpy_support.py:1(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:121(_ensure_critical_deps)
      580    0.019    0.000    0.019    0.000 base.py:41(__init__)
      670    0.003    0.000    0.019    0.000 context.py:414(install_registry)
       67    0.000    0.000    0.018    0.000 context.py:401(_load_builtins)
     7412    0.009    0.000    0.018    0.000 _utils.py:24(deduplicate)
        1    0.001    0.001    0.018    0.018 __init__.py:58(<module>)
     3124    0.004    0.000    0.018    0.000 __init__.py:2067(dist_factory)
2357/2317    0.002    0.000    0.018    0.000 manager.py:22(lookup)
     2230    0.001    0.000    0.018    0.000 manager.py:33(__getitem__)
     6134    0.002    0.000    0.018    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.018    0.009 lowering.py:246(create_cfunc_wrapper)
        2    0.000    0.000    0.018    0.009 cpu.py:164(create_cfunc_wrapper)
       26    0.000    0.000    0.017    0.001 pyparsing.py:2779(__init__)
     1446    0.003    0.000    0.017    0.000 instructions.py:623(__init__)
      289    0.001    0.000    0.017    0.000 cgutils.py:173(__setitem__)
        9    0.000    0.000    0.017    0.002 callwrapper.py:20(add_arg)
        6    0.000    0.000    0.017    0.003 parfor.py:3984(remove_dead_parfor)
      245    0.001    0.000    0.017    0.000 cgutils.py:149(__getattr__)
     1108    0.003    0.000    0.017    0.000 builder.py:748(store)
        1    0.000    0.000    0.017    0.017 numeric.py:1(<module>)
      892    0.001    0.000    0.017    0.000 __init__.py:1393(_get_metadata_path)
      227    0.001    0.000    0.017    0.000 extending.py:146(wrap)
       21    0.000    0.000    0.017    0.001 castgraph.py:131(unsafe)
      893    0.002    0.000    0.016    0.000 __init__.py:1472(_fn)
      245    0.001    0.000    0.016    0.000 cgutils.py:166(__getitem__)
      591    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.016    0.016 c_parser.py:9(<module>)
      676    0.002    0.000    0.016    0.000 array_analysis.py:914(define)
       75    0.000    0.000    0.016    0.000 base.py:1096(get_abi_sizeof)
       11    0.000    0.000    0.016    0.001 postproc.py:155(_insert_var_dels)
      227    0.000    0.000    0.016    0.000 extending.py:129(register_jitable)
    13/11    0.004    0.000    0.016    0.001 postproc.py:175(_patch_var_dels)
      735    0.005    0.000    0.016    0.000 instructions.py:492(__init__)
        1    0.000    0.000    0.016    0.016 index_tricks.py:1(<module>)
      810    0.001    0.000    0.015    0.000 __init__.py:2053(<genexpr>)
        1    0.000    0.000    0.015    0.015 codegen.py:871(initialize_llvm)
       75    0.000    0.000    0.015    0.000 types.py:48(get_abi_size)
     15/9    0.003    0.000    0.015    0.002 ir_utils.py:973(apply_copy_propagate)
    20851    0.012    0.000    0.015    0.000 {built-in method _abc._abc_instancecheck}
     2291    0.004    0.000    0.015    0.000 abstract.py:48(_intern)
        2    0.000    0.000    0.015    0.008 typed_passes.py:205(run_pass)
        2    0.000    0.000    0.015    0.008 decorators.py:1(<module>)
     2533    0.006    0.000    0.015    0.000 weakref.py:395(__getitem__)
    32936    0.014    0.000    0.015    0.000 {built-in method builtins.hasattr}
      156    0.001    0.000    0.015    0.000 extending.py:213(decorate)
    14882    0.004    0.000    0.015    0.000 copy.py:274(<genexpr>)
        1    0.000    0.000    0.015    0.015 loader.py:2(<module>)
      830    0.003    0.000    0.015    0.000 copy.py:211(_deepcopy_list)
      836    0.001    0.000    0.015    0.000 models.py:615(get)
     5739    0.009    0.000    0.015    0.000 posixpath.py:75(join)
       88    0.000    0.000    0.015    0.000 npydecl.py:171(generic)
       46    0.000    0.000    0.015    0.000 arrayobj.py:90(shape)
       94    0.001    0.000    0.015    0.000 npydecl.py:96(generic)
    17400    0.008    0.000    0.015    0.000 version.py:98(_compare)
      661    0.001    0.000    0.014    0.000 models.py:695(getter)
        1    0.000    0.000    0.014    0.014 codegen.py:1(<module>)
       75    0.001    0.000    0.014    0.000 types.py:33(_get_ll_pointer_type)
      198    0.003    0.000    0.014    0.000 array_analysis.py:512(insert_equiv)
      955    0.003    0.000    0.014    0.000 builder.py:735(load)
       51    0.001    0.000    0.014    0.000 parfor.py:567(list_vars)
        1    0.000    0.000    0.014    0.014 py3k.py:12(<module>)
    13478    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    11600    0.004    0.000    0.014    0.000 version.py:82(__eq__)
        5    0.000    0.000    0.014    0.003 nrtopt.py:25(_remove_redundant_nrt_refct)
        1    0.000    0.000    0.013    0.013 arrayobj.py:4(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:124(<module>)
   115279    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     2130    0.004    0.000    0.013    0.000 types.py:77(__call__)
        1    0.000    0.000    0.013    0.013 parallel.py:371(_launch_threads)
